1,24,499,0,34061.72464,69
2,44,581,0,33106.98446,193
3,51.20972644,516.325228,0,33761.68693,329
4,76.46412556,464.4147982,0,33698.22197,446
5,114,523,0,33975.4623,305
6,121.2033493,467.5956938,0,33847.26077,418
7,166,568,0,33848.5082,305
44,25,495,1,34052.37681,69
45,44,581,1,33118.20725,193
46,55.96042216,513.0079156,1,33789.781,379
47,76.59299191,461.2237197,1,33896.51752,371
48,114,523,1,34080.27213,305
49,118,468.5,1,33935.66915,402
50,166,572,1,33925.10492,305
51,168,32,1,33395.35556,45
52,182,497,1,33086.95172,145
